118,35,307,35,307,64,118,64
120,64,210,64,210,78,120,78
212,64,239,64,239,78,212,78
121,103,164,103,164,114,121,114
167,103,228,103,228,114,167,114
231,104,250,104,250,114,231,114
118,114,145,114,145,128,118,128
181,115,207,115,207,128,181,128
146,117,178,117,178,128,146,128
120,127,158,130,157,143,119,140
159,128,184,128,184,140,159,140
187,128,235,128,235,142,187,142
237,128,267,128,267,140,237,140
118,148,175,148,175,162,118,162
176,148,240,148,240,162,176,162
120,162,150,162,150,173,120,173
150,160,187,160,187,175,150,175
401,165,457,165,457,182,401,182
120,196,153,196,153,214,120,214
189,196,221,196,221,214,189,214
157,198,182,198,182,214,157,214
118,245,196,245,196,262,118,262
203,245,296,245,296,262,203,262
118,260,145,260,145,276,118,276
150,260,182,260,182,278,150,278
179,262,206,262,206,276,179,276
210,262,259,262,259,278,210,278
118,276,205,278,204,293,118,292
332,276,373,276,373,292,332,292
210,278,251,278,251,292,210,292
256,278,295,278,295,292,256,292
295,278,318,278,318,292,295,292
118,306,159,306,159,321,118,321
175,308,197,311,196,324,173,321
203,307,244,310,243,325,202,322
247,306,328,311,327,326,246,322
120,375,196,375,196,390,120,390
210,375,275,375,275,390,210,390
278,375,320,375,320,390,278,390
323,375,371,375,371,390,323,390
150,396,228,396,228,414,150,414
120,398,143,398,143,412,120,412
240,398,273,398,273,414,240,414
271,398,303,398,303,414,271,414
301,398,334,398,334,414,301,414
118,418,175,418,175,435,118,435
179,420,198,420,198,435,179,435
225,420,275,420,275,435,225,435
203,473,289,473,289,489,203,489
537,475,585,475,585,490,537,490
120,504,129,504,129,517,120,517
134,503,165,503,165,518,134,518
164,504,220,504,220,520,164,520
225,504,251,504,251,518,225,518
256,504,317,504,317,520,256,520
317,506,323,506,323,517,317,517
323,504,379,504,379,520,323,520
378,504,401,504,401,520,378,520
118,516,160,519,159,535,117,532
164,518,182,518,182,532,164,532
187,518,212,518,212,534,187,534
218,518,243,518,243,534,218,534
246,518,264,518,264,534,246,534
262,518,281,518,281,534,262,534
285,520,312,520,312,534,285,534
315,520,342,520,342,534,315,534
346,520,371,520,371,534,346,534
529,520,582,520,582,537,529,537
582,520,601,520,601,535,582,535
118,556,143,556,143,571,118,571
150,556,173,556,173,571,150,571
171,556,195,556,195,571,171,571
195,556,235,556,235,571,195,571
240,556,257,556,257,571,240,571
414,579,440,579,440,596,414,596
360,581,409,581,409,595,360,595
445,581,476,581,476,596,445,596
476,581,493,581,493,596,476,596
301,595,356,595,356,610,301,610
415,595,440,595,440,612,415,612
445,595,476,595,476,610,445,610
378,598,387,598,387,610,378,610
392,596,409,596,409,610,392,610
476,596,501,596,501,612,476,612
339,626,401,626,401,642,339,642
414,626,446,626,446,642,414,642
445,626,476,626,476,642,445,642
475,626,493,626,493,642,475,642
360,685,409,685,409,703,360,703
331,687,364,687,364,703,331,703
415,687,476,687,476,703,415,703
331,710,370,710,370,725,331,725
376,710,401,710,401,726,376,726
406,709,455,711,454,726,405,724
453,710,501,710,501,726,453,726
514,710,539,710,539,726,514,726
370,714,378,714,378,725,370,725
331,725,356,725,356,740,331,740
360,725,417,725,417,740,360,740
423,726,485,726,485,740,423,740
331,740,371,740,371,756,331,756
376,742,423,742,423,756,376,756
421,742,448,742,448,757,421,757
451,742,485,742,485,757,451,757
331,756,376,756,376,771,331,771
376,755,408,757,407,773,375,771
490,756,531,756,531,771,490,771
414,756,447,759,446,774,412,771
445,757,478,757,478,771,445,771
331,778,370,778,370,793,331,793
385,781,400,781,400,793,385,793
406,779,462,779,462,795,406,795
384,793,446,793,446,809,384,809
445,796,462,796,462,810,445,810
660,805,678,806,675,897,657,896
375,889,431,889,431,906,375,906
131,952,189,954,188,970,130,968
190,954,203,954,203,968,190,968
206,954,259,954,259,970,206,970
262,957,332,957,332,968,262,968
335,956,356,956,356,970,335,970
